permno,comnam
35378,COMMERCIAL BANKSTOCK
54755,MOBOT CORP
78896,UNITED PRESIDENTIAL CORP
12627,AMERICAN CASINO ENTERPRISES
32863,ENERDINE INTERNATIONAL
13005,AMERICAN FRONTIER EXPL INC
20328,C S M SYSTEMS INC
29445,DENTAL WORLD CTR INC
15393,ASSOCIATED MEDICAL DEVICES INC
29701,DEXON INC
37066,FLOWER TIME INC
70202,SHANON OIL & GAS LTD
83863,XICOR INC
13390,AMERICAN METALS SVC INC
13857,AMERICAN SURGERY CTRS INC
45656,INTERSTATE MOTOR FREIGHT SYSTEMS
55378,A D M INDUSTRIES INC
65681,RANDAL DATA SYS INC
23457,CIMARRON CORP DE
47272,KEE EXPLORATION INC
82457,WESTERN TAR SANDS INC
38915,GERMANIA FEDERAL SVGS & LN ASSN
57155,NETWORK SYSTEMS CORP
62340,PACIFIC GAS TRANSMISSION CO
14438,MICROPIN CORP
19773,BUNTING STERISYSTEMS INC
34973,FINGERMATRIX INC
42665,ORIGINALA PETROLEUM INC
51887,EMPIRE INC
64515,PROVIDENT BANCORP INC
62069,PEOPLE EXPRESS AIRLINES INC
40951,HARDWICKE COMPANIES INC
35407,FIRST COMMERCIAL BANCORP
58481,NOVAN ENERGY INC
67177,ROANOKE ELECTRIC STEEL CORP
43802,INDEPENDENCE BANK GROUP INC
73964,SYNCOR INTERNATIONAL CORP
41340,HEALTH INFORMATION SYS INC
62148,C S X CORP
30972,DYATRON CORP
72849,STEIGER TRACTOR INC
17670,AMDISCO CORP
45795,INVESTMENT ANNUITY INC
56216,NATIONAL CITY BANCORPORATION
19370,BRITT TECH CORP
19431,BRONCO OIL & GAS
29293,DELTA PETROLEUM & ENERGY CORP
31580,ECONO THERM ENERGY SYS CORP
32222,ELECTRONICS MISSILES & COMMS INC
62252,GENERAL RE CORP
14796,AQUACULTURE PRODUCTION TECH LTD
24871,COLUMBINE EXPLORATION CORP
79987,VALEX PETROLEUM INC
63001,TEXAS GENERAL GROUP INC
69738,SECURITY AMERICA CORP
73438,ANAEROBIC ENERGY SYS
74740,TAYLOR DEVICES INC
58253,PEARCE URSTADT MAYER & GREER
64514,ADVEST GROUP INC
11042,ADVANTAGE COS INC
48718,LANDMARK OIL & GAS LTD
78845,BANK SECURITIES INC
23043,CHEMICAL INVESTORS INC
62471,VERMONT RESEARCH INC
65016,QED EXPLORATION INC
13048,AMERICAN GOLD MINERALS CORP
17161,BASTIAN INDUSTRIES INC
29357,DENCOR ENERGY COST CTLS INC
41647,HERITAGE FINANCIAL CORP
68997,SAXON OIL CO
21961,CENTENNIAL PETROLEUM INC
67803,WIENER ENTERPRISES INC
18607,BOGERT OIL CO
32732,ENERGY SHED INC
38798,GEODYNE RESOURCES INC
42674,HOUSING INDUSTRIES AMER INC
55424,MOVIE SYSTEMS INC
57665,NIKE INC
62172,ELECTROSOUND GROUP INC
62199,EVEREST & JENNINGS INTL
69543,SEA GALLEY STORES INC
12539,AMERICAN BANKERS INS GROUP INC
38878,GEOTEL INC
46931,K TRON INTL INC
69404,SCORE EXPLORATION CORP
83425,WOODBINE PETROLEUM INC CO
23799,CITIZENS INS CO AMER TEX
53939,MIDWAY AIRLINES INC
86079,BRISTOL GAMING CORP
10867,ADVANCE CIRCUITS INC
53285,METROPOLITAN FEDERAL S & L MD
55774,N D RESOURCES INC
60170,OVERSEAS NATIONAL AIRWAYS
74393,T P E X EXPLORATION INC
76495,TOMAHAWK OIL & MINERALS INC
16257,B S L TECHNOLOGY
28282,DAHLBERG ELECTRONICS INC
64291,PRODUCTION OPERATORS CORP
16249,B S D MEDICAL CORP
17057,BASE TEN SYS INC
46659,JOHNSON ELECTRONICS INC
69236,SCI TECHNICS INC
12846,AMERICAN FED SVGS & LN ASSN CO
25232,ONEOK INC
61218,PARALLEL PETROLEUM CORP
75484,TENNESSEE VIRGINIA ENERGY CORP
14593,APPLE COMPUTER INC
50287,LUTHER MEDICAL PRODUCTS INC
62762,UNIVERSAL COMMUNICATIONS SYS
78108,UNILIFE INS CO
63757,RATLIFF DRILLING & EXPL CO
64725,C 3 INC
29102,ANGLO ENERGY LTD
29138,DECA ENERGY CORP
29795,DIAMOND B INDUSTRIES INC
29824,DIAMOND WEST ENERGY CORP
35693,FIRST FINANCIAL SVGS & LN ASN WI
45373,INTERNATIONAL REMOTE IMG SYS INC
57286,NEW ENGLAND BUSINESS SVC INC
63562,DRILLERS INC
74959,TECHSCIENCE INDUSTRIES INC
84100,ZENTEC CORP
17559,BELLWETHER EXPLORATION CO
28135,CYTOX CORP
43474,ICOT CORP
45269,INTERNATIONAL METALS & PETE CP
64717,B S N CORP
80881,VIPONT LABORATORIES INC
14024,AMICON CORP
29605,DETROIT TEXAS GAS GATHERING CO
64215,DELMED INC
41073,HART EXPLORATION & PRODTN CO
55512,MULTNOMAH KENNEL CLUB
55539,MULTNOMAH KENNEL CLUB
18965,BRADEN INDUSTRIES INC
19749,BULL RUN GOLD MINES LTD
37701,FREQUENCY CONTROL PRODUCTS INC
50403,F M I FINANCIAL CORP
37727,UNIVERSAL MARION CORP
42834,HUMPHREY INC
62308,LIBERTY NATIONAL INS HLDG CO
69666,SEARCH NATURAL RESOURCES INC
23705,CITIZENS & SOUTHERN CORP GA
43888,INDEPENDENT INSURANCE GROUP INC
44600,INTELLIGENT SYSTEMS CORP
58609,NU WEST INC
60901,PAIN CONTROL CENTERS INC
16759,BANKCOM CORP
24300,COBB RESOURCES CORP
31472,ARTRA GROUP INC
35617,PROVIDENCE ENERGY CORP
61356,GUARANTEE BANCORP INC
64207,CULLINANE DATABASE SYS INC
77623,TWIN CITY BARGE INC
35175,FIRST AMERICAN CORP TN
37541,FRANKLIN CONSOLIDATED MINING INC
43588,PITTSBURGH DES MOINES CORP
52469,MEDICAL DEVICES INC
27610,CRAMER INC
43423,I S S C INDUSTRIAL SD ST CTLS IN
46632,UNIVERSITY PPTYS INVT
66229,ISALY INC
44791,SCHENUIT INVESTMENTS INC
51909,MATRIX SCIENCE CORP
55416,MOUNTAINS WEST EXPL INC
50682,MACHINE TECHNOLOGY INC
61357,PARTNERS OIL CO
64469,NUTRI SYSTEMS INC
52995,MERIT ENERGY CORP
73593,SUNRISE SAVINGS & LOAN ASSN FL
75919,THERMAL PROFILES INC
28098,CYMATICOLOR CORP
32687,ENERGY PRODUCTION CO
66158,REGENT PETROLEUM CORP
38616,GENETIC ENGINEERING INC
62237,PERMEATOR CORP
65972,RECTISEL CORP
68073,S & M CO
72630,STAR DUST MINES INC
61990,PENNBANCORP
18383,BLACK HAWK RES INC
32839,ENGINEERING MEASUREMENTS CO
49892,LIVESTOCK FINANCIAL CORP CO
62623,INTERCOLE INC
64020,LUBYS CAFETERIAS INC
75732,TEXAS ENERGIES INC
64881,PARRENT OIL & GAS INC
80550,VERNON VALLEY REC ASSN INC
46683,JOJOBA HORIZONS INC
56469,SUNSTATES CORP
22219,CENTRAL SERVICE INDUSTRIES INC
79047,UNITED STATES ENERGY SEARCH INC
18201,BIOTECH CAP CORP
24089,CLINI THERM CORP
27183,COPPER LAKE EXPLS LTD
37217,TECH OPS INC
48769,LASER PRECISION CORP
63467,POE & ASSOCIATES INC
64662,PRYME ENERGY RESOURCES CORP
65226,DIAGNOSTIC RETRIEVAL SYS INC
16030,AVATAR HOLDINGS INC
44186,INFORMATION RETRIEVAL SYS CORP
53111,METAL ARTS INC
71352,SOUTHEAST EXPLORATION CORP
77754,U B Z CORP
28012,CUTCO INDUSTRIES INC
31131,DYSAN CORP
43618,IMMUNO NUCLEAR CORP
60768,PACIFIC SILVER CORP
22999,CHEM TRONICS INC
70624,SILICON SYSTEMS INC
63838,PRECISION FILM CORP
46114,J B S RESTAURANTS INC
57534,NEWPORT CORP
62690,SEAGULL PIPELINE CORP
33065,ENTERPRISE RADIO INC
63052,VERNA CORP
35626,FIRST FEDERAL SVGS & LN ASSN MAD
63335,SOUTH TEXAS DRILLING CO
28928,DATAVISION INC MI
42279,HOME FEDERAL S & L ASSOC MS MERI
43677,IMPACT ENERGY INC
44637,INTER TEL INC
50367,LYRIC ENERGY INC
66377,RENAL DEVICES INC
78880,UNITED PERFORMANCE INDS INC
68719,SAN DIEGO BANCORP
28637,DATA LAW CO
46747,JONES INTERCABLE INC
28426,DALLAS OIL & MINERALS INC
63992,HELM RESOURCES INC
26367,CONDUCTRON CORP MA
74625,TANDON CORP
24521,COLLECTORS GUILD INTL INC
31772,ELAN AIR CORP
53137,NATIONAL PARAGON CORP
35610,FIRST FEDERAL SVGS & LN ASSN OK
53480,MICROS SYSTEMS INC
36776,FLEXWEIGHT CORP
36821,FLOAT TO RELAX INC
64485,SCIENTIFIC LEASING INC
31975,ELECTRO BIOLOGY INC
37891,FUNDSNET INC
57016,NAVCO CORP
62615,GEO INTERNATIONAL CORP
65445,NATIONAL FOUNDATION LIFE INS
31500,EATON VANCE CORP
57403,NEW YORK AIRLINES INC
66983,HIGHLANDS COAL & CHEM
18711,BOLYARD OIL & GAS LTD
49729,LINCOLN TELECOMMUNICATIONS CO
73358,SUMMIT BANCORPORATION
81673,WATERMAN MARINE CORP
31246,E M F CORP
44920,INTERMOUNTAIN RESOURCES INC
55969,NAHAMA & WEAGANT ENERGY INC
77220,TRIAD ENERGY CORP
12184,ALTON PACKAGING CORP
27116,COOPER ENERGY INC
74131,SYNTHEMED CORP
11464,ALANDA ENERGY CORP
64135,WILLIAMS ELECTRONICS INC
78941,UNITED SOLAR ASSOC
20125,C COR NET CORP
29971,DIGILOG INC
49286,LEXICON CORP
10584,ACADIA PETROLEUM CORP
62885,GRUBB & ELLIS CO
26594,CONSOLIDATED PETROLEUM INDS
15828,AUTOCLAVE ENGINEERS INC
32679,ENERGY OPTICS INC
17807,BIO ENERGY SYS INC
22497,CETUS CORP
54280,MINERAL DEVELOPMENT INC
10496,A W COMPUTER SYSTEMS INC
19917,BURST PRODUCTS INC
28987,DAUPHIN INC
74676,TARGET OIL & GAS INC
13582,AMERICAN PHONEMETER
46165,J M RESOURCES INC
13179,AMERICAN INDUSTRIES LTD
20504,ATOURS INC
32388,EMERY ENERGY INC
38034,G S T LABS INC
53488,MICRO Z CORP
29314,DELTA DRILLING INC
62674,RICHARDSON VICKS INC
68524,SAGE DRILLING INC
31879,ELDORADO BANK TUSTIN CA
38472,GENERAL MAGNAPLATE CORP
76305,TIMES FIBER COMMUNICATION
22868,CHASE DEVELOPMENT CORP
58895,OBJECT RECOGNITION SYS INC
62317,PETRO SILVER INC
13822,AMERICAN SPORTS ADVISORS INC
18220,BIOTECH RESEARCH LABS INC
77068,TRATEC INC
26631,GASCOME OILS LTD
30905,DURALITH CORP
40540,H E I INC
45154,INTERNATIONAL INSTITUTE MED SCI
67619,INTERNATIONAL THOROUGHBRED BRDRS
72136,IMMUTRON INC
16556,BANCORP PA
68129,S A I GROUP INC
68196,S E I INVESTMENTS CO
74916,TECHNOLOGY MARKETING INC
32540,EMULEX CORP
44170,INFOTRON SYSTEMS CORP
72120,SPECTRUM COMMUNICATIONS CORP
80486,VENTREX LABS INC
30454,NORTHERN ARIZONA GOLD & SILVER
49446,LIFE CENTERS INC
53640,MICROSEMICONDUCTOR CORP
54165,MILLER TECHNOLOGY & COMMUNICAT
72021,SPEARHEAD ENERGY INC
72611,STAR BRITE CORP
85439,AMERICAN PACIFIC CORP
32644,ENERGY DYNAMICS INTL CORP
56689,NATIONAL ROYALTY CORP
14155,WESTERN GOLD N GAS CO
15254,ASPEN EXPLORATION CORP
20299,C P A C INC
41583,HENRY ENERGY
76071,BRINKMANN INSTRUMENTS INC
12854,AMERICAN FIBER OPTICS CORP
29285,DELTA NATURAL GAS INC
32716,ENERGY RES N D INC
51108,MAJOR EXPLORATION INC
72902,STERLING PIPE & SUPPLY CO
62850,EXETER OIL LTD
69447,SCOTT INSTRUMENTS CORP
19757,BULLION MONARCH CO
30024,DIGITAL PRODUCTS CORP
59564,OMNITRONICS RESEARCH CORP
80849,VIDEO TO GO CORP
11229,AGOIL INC
41997,HINGELINE OVERTHRUST OIL & GAS
44792,INTERGRAPH CORP
62376,PETROLEUM HELICOPTERS INC
63386,ULTIMATE CORP
64224,PRODIGY SYSTEMS INC
70165,SEVILLE ENERGY CORP
16425,BALBOA EXPLORATION CO
31203,E I L INSTRUMENTS INC
38894,GERBER SYSTEMS TECHNOLOGY
47408,KENCOPE ENERGY COS
51204,MANAGEMENT SCIENCE AMER INC
59053,LAWTER INTERNATIONAL INC
62877,FREEPORT MCMORAN INC
65031,PRAIRIE PRODUCING CO
20141,CYBER DIAGNOSTICS
34447,FAST FOOD OPERATORS INC
34666,FIDELITY MEDICAL INC
63159,EXPLORATION SURVEYS INC
52231,MECHANICAL TECHNOLOGY INC
63001,TEXAS GENERAL RESOURCES INC
42164,HOMAC INC
57059,NEIGHBORHOOD ROYALTY GROUP USA
11069,AERO SERVICES INTERNATIONAL INC
44821,INTERMAGNETICS GENERAL CORP
54200,O T X INC
77885,UINTAH ENERGY CORP
16206,B I W CABLE SYSTEMS INC
22665,NUTRIENT COSMETIC LTD
25882,COMPUTER ENTRY SYS CORP
37161,T E C O ENERGY INC
15764,AUSTIN BANCSHARES CORP
23676,MONOSIL INC
25946,COMPUTER MAGNETICS CORP
38042,GEOSCIENCE TECHNOLOGY SVCS CORP
54025,MCKEON LIQUIDATING CO
63213,PIZZA TIME THEATRE INC
63642,INTERTEC DATA SYS
70608,SILICON ELECTRO PHYSICS INC
18447,BLISS A T CO
22526,CHADRON ENERGY CORP
32898,ENERGY SOLUTIONS INC
37787,CYCLE OIL & GAS CORP
54587,MIZEL PETRO RES INC
62770,AMSOUTH BANCORPORATION
78511,UNITED CENTRAL BANCSHARES INC
44223,INITIO INC
59695,DORADO MICRO SYS
48996,OKLAHOMA LAND & EXPLORATION CO
54325,MINEX RESOURCES INC
63968,GREATWEST HOSPITALS INC
64119,SWIFT INDEPENDENT CORP
29050,DAWSON GEOPHYSICAL CO
63570,ENERSERV PRODUCTS INC
64813,TELESPHERE INTERNATIONAL INC
69244,SCIENCE DYNAMICS CORP
66166,REEF ENERGY CORP
12160,ALTAIR CORP P R
45146,INTERNATIONAL INSTITUTE APPD TEC
62914,MEDIQ INC
80611,VIABLE RESOURCES INC
83724,X Y Z LIQUIDATING CORP
10145,ALLIED CORP
23262,CHILDRENS PLACE INC
63124,CRAWFORD ENERGY INC
83708,X O EXPLORATION INC
50201,LOVELADY IKE INC
64638,PUBCOA INC
65083,QUEST MEDICAL INC
18817,ALLEGHENY INTERNATIONAL INC
57075,NELSON RESEARCH & DEVELOPMENT CO
63212,HELDOR INDUSTRIES INC
75855,THERATECH INC
22082,PANHANDLE EASTERN CORP
27335,CENTRAL CORPORATE REPO
56450,N B D BANCORP INC
46324,TRANSCON INC CA
28629,DATA I O CORP
67919,ROYALTY DEVELOPMENT CORP
79194,POLY SOUTHFIELD CORP
83417,WOMETCO CABLE TV INC
57841,NORPAC EXPLORATION SERVICES INC
12750,AMERICAN DIAGNOSTICS CORP
30577,DOTRONIX INC
49382,LIBERTY PETROLEUM CORP
63204,HEIZER CORP
66983,RIO VERDE ENERGY CORP
80929,VIRATEK INC
82027,WENTEX INTERNATIONAL INC
18412,BLACKMIST RESOURCES INC
62333,PETROLEUM ACREAGE CORP TX
62797,BAIRNCO CORP
16409,BALANCE COMPUTER CORP
18519,BLUE JAY ENERGY CORP
43327,I P L SYSTEMS INC
44928,INTERFERON SCIENCES INC
44952,INTERACTION SYSTEMS INC
73243,READING AVIATION SERVICE
75599,CHIPOLA OIL CORP
20467,CABLE T V INDS
44346,INPUT BUSINESS MACHS INC
58500,NOVAR ELECTRONICS CORP
62261,PERSONAL DIAGNOSTICS INC
63247,MOUNTAIN MEDICAL EQUIP INC
16978,AIMEXCO INC
49462,LIFE IMAGING CORP
52725,MEGATECH CORP
60732,TRANSCONTINENTAL ENERGY CORP DE
63888,ASTRO DRILLING CO
76100,THORATEC LABORATORIES CORP
29963,DIETRICH RES CORP
30728,TEXAS NEW MEXICO POWER CO
33073,LEZAK ENERGY GROUP INC
46340,SAFEGUARD SCIENTIFICS INC
48020,SANMARK STARDUST INC
14147,AMERICAN STS LEASING CORP
32118,ELECTROMEDICS INC
38666,COOK INTERNATIONAL INC
70843,SKIPPERS INC
16433,BALCO ENERGY CORP
28565,DATA ARCHITECTS INC
36792,FLIGHT DYNAMICS INC
67927,ROYALTY VENTURES CORP
24468,COGENIC ENERGY SYS INC
27538,COVINGTON TECHNOLOGIES
27596,PHIBRO CORP
35319,FIRST CITY FEDERAL SVGS & LN FL
65007,MUSE AIR CORP
47811,KING OF VIDEO INC
55765,SCOTTS SEABOARD CORP
58230,NORTHERN NATIONAL CORP
70106,SEVEN OAKS INTL INC
14331,ANDROS ANALYZERS
19960,BUSINESS EXCHANGE INC
46587,JET INDUSTRIES INC
62834,ENGELHARD CORP
63240,PLAINS RESOURCES INC
66481,REPUBLIC RESOURCES CORP
66836,RIBI IMMUNOCHEM RESH INC
19677,BUFFTON OIL & GAS INC
23422,CIBOLA ENERGY CORP
39248,GOLD ORE LTD CRIPPLE CREEK
58210,ROCOR INTERNATIONAL
73913,SYM TEK SYS INC
77914,ULTRASYSTEMS INC
79186,UNITED STATES OIL CO
30032,DIGITAL RECORDING CORP
38042,G T S CORP
62842,ENTERRA CORP
63053,PINNACLE PETROLEUM INC CO
65103,UNITEL VIDEO INC
80072,VALLEY NATIONAL BANK PASSAIC
16716,BANK SOUTH CORP
45102,FIGGIE INTERNATIONAL INC
49681,LINCOLN PLAZA RESOURCES INC
53348,M P S INTERNATIONAL CORP
56099,NATIONAL ANN ARBOR CORP
61890,WALKER HIRAM RES LTD
62165,MOUNTAIN STATES OVERTHRUST OIL&G
66967,RIGGS NATIONAL CORP WASH D C
17014,BARTON VALVE INC
26550,FIRST INTERSTATE BANCORP
29568,DETECTOR ELECTRONICS CORP
52581,MEDICAL GRAPHICS CORP
74019,SYNTECH INTERNATIONAL INC
15844,AUTODYNAMICS INC
76209,TIERCO GROUP INC
90975,PEOPLES BAN CORP
18738,BONRAY DRILLING CORP
38632,GENETIC SYSTEMS CORP
38958,GIBRALTER EXPLORATION LTD
47723,KIMBARK OIL & GAS CO
48398,LADY JANE RES INC
63239,LITTLEFIELD ADAMS & CO
13515,AMERICAN NATURAL PETROLEUM CO TX
20854,CALUMET INDUSTRIES INC
22956,CHEFS INTERNATIONAL INC
39925,K D T INDUSTRIES INC
52565,MEDICAL DYNAMICS INC
32062,ELECTRO SENSORS INC
37402,FOSTER L B CO
46624,JIFFY INDS INC
49905,LIZ CLAIBORNE INC
62966,PIEZO ELECTRIC PRODUCTS INC
67847,ROYAL RES CORP DEL
71037,SOFTWARE AG INTERNATIONAL INC
79330,UNITED TELEVISION INC
51861,MASTERS ENERGY CORP
30780,DREYERS GRAND ICE CREAM INC
58713,NUPEC RESOURCES INC
75628,TESCO AMERICAN INC
50657,DREW NATIONAL CORP
54200,MILLS JENNINGS CO
68180,S A L CABLE COMMUNICATIONS CP
49074,GENSTAR CORP
62790,PHOTOGRAPHIC SCIENCES CORP
67889,ENERGY OIL INC
58078,NORTH EAST INS CO
38747,GEOPHYSICAL SYSTEMS CORP
47942,KLOSS VIDEO CORP
51044,MAINSTREAM ENGINEERING INC
82801,WHITMAN MEDICAL CORP
12117,ALPHA MICROSYSTEMS
12766,AMERICAN ELECTROMEDICS CORP
31406,EALING CORP
48857,LASERMETRICS INC
52098,MCCOY INDUSTRIES INC
59011,OCILLA INDUSTRIES INC
62826,CORADIAN CORP
48187,KYLE TECHNOLOGY CORP
49884,LITTLE PRINCE PRODTNS
52353,F G I INVESTORS INC
53429,MICOM SYSTEMS INC
13900,AMERICAN TRUSTEE INC
31713,EGO RESOURCES LTD
33663,EVOLUTION TECHNOLOGIES
54237,MINCOMP CORP
82836,WICKLUND PETROLEUM CORP
84225,ZOE PRODS INC
33911,F A F C O INC
60805,PACIFIC SEADRIFT RESOURCES LTD
65593,RADIANT TECHNOLOGY CORP
68348,SWEET N LEGAL USA INC
75687,TETRA SYSTEMS INC
79090,UNITED STATES AIRCRAFT CORP
82895,WILDERNESS EXPERIENCE INC
35968,FIRST MATAGORDA CORP
56777,NATIONAL TECHNICAL SYS
67521,ROLFITE CO
70042,SEPAREX CORP
75409,TEMPLETON ENERGY INC
83126,WIND BARON CORP
19773,BUNTING INC
63810,UNITED MEDICAL CORP
38675,GENEVE CAPITAL GROUP INC
52812,FIRST CITY PROPERTIES INC
57729,AZTEC ENERGY CORP
61613,PAY TELEVISION CORP
20124,HOUSEHOLD INTERNATIONAL INC
26033,COMPUTER RESOURCES INC
62448,PETROTECH INC
64143,AMERICAN WELL SERVICING CORP
28250,D O C OPTICS CORP
35183,FIRST BANCSHARES LA INC
40484,H B O & CO
60039,ORYX COMMUNICATIONS INC
63335,SOUTH TEXAS DRILLING & EXPL INC
79928,VACATION SPA RESORTS INC
84399,C P U COMPUTER CORP
11835,ALLEGHENY & WESTERN ENERGY CORP
21101,CANALTA RESOURCES LTD
31843,FEDERATED PURCHASER INC
36039,FIRST NATIONAL BANCSHARES AR
47352,KELLY JOHNSTON ENTERPRISES INC
49411,LIEBERT CORP
67409,ROCKWELL OIL CO
80099,VALLEY NATIONAL CORP AZ
92946,VYQUEST INC
17241,BAYSWATER REALTY & CAPITAL CORP
32783,ENERGY SYSTEMS INC
59221,CONNECTICUT GENERAL CORP
62288,PETRA RES INC
64486,PROTECTIVE CORP
67038,RIVAL RESOURCES INC
74828,TECHNALYSIS CORP
84233,ZONIC CORP
32935,OIL MOP INC
46010,HARMONY INC
49585,LILLY INDUSTRIAL COATINGS INC
66173,HELIONETICS INC
15334,ASSOCIATED COMMUNICATIONS CORP D
79004,UNITED STATES DESIGN CORP
24978,COMBINED COMPANIES INC
50324,LYNX EXPLORATION CO
71117,SOLV EX CORP
11309,AIR CHAPARRAL INC
55838,N L I CORP
69092,SCHAGRINS INC
79637,UNIVERSAL HEALTH SERVICES INC
17954,BILLINGS CORP
83046,WILSON FOODS CORP
37592,FRANKLIN SIGNAL CORP
57198,NEVADA RES INC
79661,UNIVERSITY NATIONAL BANK & TR CA
28784,DATAMARINE INTERNATIONAL INC
31908,ELDORADO GOLD & EXPL INC
66667,ODETICS INC
25831,COMPUTER DESIGNED SYS INC
46499,JEGEROIL CORP
72574,STANSBURY MINING CORP
79389,UNITED WESTERN CORP
14809,AQUANAUTICS CORP
24935,COMAIR INC
34578,FERROFLUIDICS CORP
63714,OMNICARE INC
64338,PICO PRODUCTS INC
75329,TELEMETRY CONTROLS INC
79071,UNITED STATES EXPLORATION CORP
62114,PEOPLES RESTAURANTS INC
74529,T V I ENERGY CORP
80398,VECTOR ENERGY CORP
44354,INTEGRATED MICROCIRCUITS INC
68153,S B T CORP
14112,AMPLICA INC
23580,CIRCLE SEVEN OIL & GAS INC
26287,COMTEX SCIENTIFIC CORP
40927,HANFORD SILVER INC
43880,INDEPENDENT BANKSHARES INC
57162,THOR ENERGY RES INC
81657,WASTEMATE CORP
48128,KROY INC
52143,MCGILL MANUFACTURING INC
67759,ROYAL APEX SILVER INC
75695,TEXAS FEDERAL S & L ASSN TX DALL
75943,THERMODYNETICS INC
18121,BIOSEARCH MEDICAL PRODUCTS INC
28995,DAVID JAMISON CARLYLE CORP
63255,NABISCO BRANDS INC
66739,SWIFT ENERGY CO
66641,RESOURCES WEST INC
17356,BEDFORD COMPUTER CORP
39854,GREAT EASTERN ENERGY & DEV CORP
60127,OUTBACK OIL & MINERAL EXPL CORP
42570,HORN SILVER MINES
63191,GRANT INDUSTRIES INC
24679,COLONIAL GAS CO
43634,IMMUNOGENETICS INC
60178,OVERTHRUST RESOURCES LTD
60186,OWENS & MINOR INC
63327,SEIS PROS INC
64258,I C O INC
67345,ROBOTIC VISION SYSTEMS INC
43271,I M M ENERGY SVCS & TECHNOLOGY
53963,MIDWEST EXPLORATION CORP
54455,DEAN WITTER REYNOLDS ORGAN INC
55080,MONTEJAS ENERGY RES
56610,CENVILL INVESTORS INC
55037,MONOCLONAL ANTIBODIES INC
60012,ORTHOMOLECULAR NUTRITION INST
81454,WALKER TELECOMMUNICATION CORP
38819,GEOPHYSICAL FIELD SURVEYS INC
39205,GLOBUSCOPE INC
60856,PACO PHARMACEUTICAL SVCS INC
63167,G N C ENERGY CORP
68611,PANSOPHIC SYSTEMS INC
47109,KAPLAN INDUSTRIES INC
63378,TECHAMERICA GROUP INC
31879,ELDORADO BANCORP CA
41524,HEMOKINETICS INC
33583,ESTEBANS MEXICAN FOODS INC
10381,A N E F C O INC
11544,ALASKA PACIFIC BANCORPORATION
17903,BIG B INC
50198,CENTENNIAL GROUP INC
58174,NORTHEASTERN BANCORP INC PA
74150,SYSTEMATICS INC
79760,WYOMING RESOURCES CORP
10621,ACCU TEST SYS INC
17516,BELL PETROLEUM SERVICES INC
61437,PATHFINDER PETROLEUM CORP
63140,ENSOURCE INC
55117,MOORE FINL GROUP INC IDAHO
57569,NEWPORT PETROLEUMS INC CO
27116,COOPER RESOURCES & ENERGY INC
74473,T S C INC
77893,ULTRAK INC
12432,GREAT OUTDOOR AMERN ADVENTURE
59599,ON LINE MEDIA INC
71459,SOUTHERN MEDICAL & PHARM
44362,INTEGRITY FINANCIAL GROUP INC
75890,THERMAL INDUSTRIES INC
36338,FIRST SAVINGS ASSN WI
74414,T R P ENERGY SENSORS INC
82553,WESTGATE CALIFORNIA CORP
19052,BRANCH CORP
22155,CENTRAL PACIFIC CORP CA
59782,MERCURY SAVINGS FED S & L ASSN
25858,COMPUTER DIALYSIS SYS INC
25508,COMPACT VIDEO INC
52760,MELTON DRILLING & EXPL CO
42113,HOLISTIC SERVICES CORP
55750,N C A CORP
71002,SOFTECH INC
15094,ARROWHEAD SAVINGS & LOAN ASSOC
47512,KENT ENERGY CORP
53517,ALASKA DIVERSIFIED RES
54421,MIOCENE RESOURCES INC
58262,NORTHSTAR MINERALS INC
63160,PIPER HYDRO INC
18650,BOLT TECHNOLOGY CORP
27546,COX RESOURCES CORP
46464,JEFFERSON WILLIAMS ENERGY CORP
52944,AMERICAN BANCORP INC PA
61444,NATIONAL GAS & OIL CO
69140,SCHERR TUMICO INC
72371,STAN WEST MNG CORP
79920,VACATION OWNERSHIP MARKETING
11659,ALDEBARAN DRILLING INC
37365,FORUM GROUP INC
52784,MEMTEK INC
69308,SCIENTIFIC LABS INC
82230,WESTERN DEVELOPMENT CORP CO
63490,CARDILLO TRAVEL SYS INC
64371,PROGRAMS UNLIMITED INC
11200,AGGIE OIL CO
62392,PETROMAX ENERGY CORP
18228,BION CORP CO
22411,CERON RESOURCES CORP
79688,RESOURCES EQUIPTMENT CAP CORP
24724,COLORADO ENERGY CORP
62368,PETROLEUM HELICOPTERS INC
12862,AMERICAN EDUCATIONAL TV NETWORK
15115,ARTCO INDUSTRIES INC
63758,PRAB ROBOTS INC
23377,CHRONAR CORP
42711,HOWARD BK BURLINGTON VT
49761,LINEAR INSTRUMENTS CORP
27968,CASINO TECHNOLOGY CORP
71934,JONES SPACELINK LTD
50497,THACKERAY CORP
66181,HOME DEPOT INC
73892,SWITCHCO INC
28143,CYCARE SYSTEMS INC
38296,GENERAL AMERICAN PPTYS INC
15086,ARROWHEAD ENERGY CORP
27386,COSMETIC SCIENCES INC
62464,PETRO QUEST INC
69607,SEAGATE TECHNOLOGY INC
74297,T I C INTERNATIONAL CORP
35423,FIRST EASTERN BANK N A PA
45875,INVESTORS SAVINGS & LN ASSN RICH
64785,ULTRA DYNAMICS CORP
33217,EPCOM INC
71686,SOUTHTRUST CORP
66924,RIDGEWAY OIL EXPL & DEV INC
81016,VIDEOVISION INC
10429,A S K COMPUTER SYSTEMS INC
13275,AMERICAN LEISURE CORP NJ
