Date: 2005-03-18 00:00:00, Volatility: 0.094063, Naive Volatility: 0.096129, Shrinkage: 0.31
Date: 2007-06-01 00:00:00, Volatility: 0.050728, Naive Volatility: 0.072185, Shrinkage: 0.00
Date: 2007-06-04 00:00:00, Volatility: 0.051182, Naive Volatility: 0.075480, Shrinkage: 0.00
Date: 2007-06-05 00:00:00, Volatility: 0.048267, Naive Volatility: 0.072095, Shrinkage: 0.00
Date: 2007-06-06 00:00:00, Volatility: 0.046517, Naive Volatility: 0.071490, Shrinkage: 0.00
Date: 2007-06-07 00:00:00, Volatility: 0.047596, Naive Volatility: 0.063591, Shrinkage: 0.00
Date: 2007-06-08 00:00:00, Volatility: 0.043782, Naive Volatility: 0.058342, Shrinkage: 0.00
Date: 2007-06-11 00:00:00, Volatility: 0.046854, Naive Volatility: 0.065906, Shrinkage: 0.00
Date: 2007-06-12 00:00:00, Volatility: 0.046363, Naive Volatility: 0.063847, Shrinkage: 0.00
Date: 2007-06-13 00:00:00, Volatility: 0.047302, Naive Volatility: 0.066016, Shrinkage: 0.00
Date: 2007-06-14 00:00:00, Volatility: 0.046965, Naive Volatility: 0.064884, Shrinkage: 0.00
Date: 2007-06-15 00:00:00, Volatility: 0.047879, Naive Volatility: 0.065175, Shrinkage: 0.00
Date: 2007-06-18 00:00:00, Volatility: 0.048402, Naive Volatility: 0.066137, Shrinkage: 0.00
Date: 2007-06-19 00:00:00, Volatility: 0.048589, Naive Volatility: 0.066476, Shrinkage: 0.00
Date: 2007-06-20 00:00:00, Volatility: 0.041956, Naive Volatility: 0.061770, Shrinkage: 0.00
Date: 2007-06-21 00:00:00, Volatility: 0.042588, Naive Volatility: 0.066242, Shrinkage: 0.00
Date: 2007-06-22 00:00:00, Volatility: 0.041425, Naive Volatility: 0.061339, Shrinkage: 0.00
Date: 2007-06-25 00:00:00, Volatility: 0.043711, Naive Volatility: 0.069418, Shrinkage: 0.00
Date: 2007-06-26 00:00:00, Volatility: 0.044965, Naive Volatility: 0.070777, Shrinkage: 0.00
Date: 2007-06-27 00:00:00, Volatility: 0.044202, Naive Volatility: 0.077032, Shrinkage: 0.00
Date: 2007-06-28 00:00:00, Volatility: 0.044679, Naive Volatility: 0.078947, Shrinkage: 0.00
Date: 2007-06-29 00:00:00, Volatility: 0.043730, Naive Volatility: 0.079297, Shrinkage: 0.00
Date: 2007-07-02 00:00:00, Volatility: 0.044982, Naive Volatility: 0.078781, Shrinkage: 0.00
Date: 2007-07-03 00:00:00, Volatility: 0.051248, Naive Volatility: 0.079874, Shrinkage: 0.00
Date: 2007-07-05 00:00:00, Volatility: 0.051682, Naive Volatility: 0.078654, Shrinkage: 0.00
Date: 2007-07-06 00:00:00, Volatility: 0.050981, Naive Volatility: 0.086404, Shrinkage: 0.00
Date: 2007-07-09 00:00:00, Volatility: 0.062952, Naive Volatility: 0.104138, Shrinkage: 0.00
Date: 2007-07-10 00:00:00, Volatility: 0.061397, Naive Volatility: 0.101407, Shrinkage: 0.00
Date: 2007-07-11 00:00:00, Volatility: 0.059282, Naive Volatility: 0.097714, Shrinkage: 0.00
Date: 2007-07-12 00:00:00, Volatility: 0.070684, Naive Volatility: 0.113630, Shrinkage: 0.00
Date: 2007-07-13 00:00:00, Volatility: 0.070037, Naive Volatility: 0.116389, Shrinkage: 0.00
Date: 2007-07-16 00:00:00, Volatility: 0.069544, Naive Volatility: 0.117142, Shrinkage: 0.00
Date: 2007-07-17 00:00:00, Volatility: 0.068871, Naive Volatility: 0.116839, Shrinkage: 0.00
Date: 2007-07-18 00:00:00, Volatility: 0.068204, Naive Volatility: 0.116318, Shrinkage: 0.00
Date: 2007-07-19 00:00:00, Volatility: 0.067325, Naive Volatility: 0.116716, Shrinkage: 0.00
Date: 2007-07-20 00:00:00, Volatility: 0.069639, Naive Volatility: 0.126408, Shrinkage: 0.00
Date: 2007-07-23 00:00:00, Volatility: 0.071062, Naive Volatility: 0.128912, Shrinkage: 0.00
Date: 2007-07-24 00:00:00, Volatility: 0.070348, Naive Volatility: 0.124040, Shrinkage: 0.00
Date: 2007-07-25 00:00:00, Volatility: 0.069164, Naive Volatility: 0.121885, Shrinkage: 0.00
Date: 2007-07-26 00:00:00, Volatility: 0.074614, Naive Volatility: 0.117264, Shrinkage: 0.00
Date: 2007-07-27 00:00:00, Volatility: 0.074609, Naive Volatility: 0.114189, Shrinkage: 0.00
Date: 2007-07-30 00:00:00, Volatility: 0.074251, Naive Volatility: 0.113518, Shrinkage: 0.00
Date: 2007-07-31 00:00:00, Volatility: 0.073928, Naive Volatility: 0.116928, Shrinkage: 0.00
Date: 2007-08-01 00:00:00, Volatility: 0.070959, Naive Volatility: 0.116158, Shrinkage: 0.00
Date: 2007-08-02 00:00:00, Volatility: 0.071914, Naive Volatility: 0.116789, Shrinkage: 0.00
Date: 2007-08-03 00:00:00, Volatility: 0.069458, Naive Volatility: 0.113600, Shrinkage: 0.00
Date: 2007-08-06 00:00:00, Volatility: 0.062217, Naive Volatility: 0.101616, Shrinkage: 0.00
Date: 2007-08-07 00:00:00, Volatility: 0.062103, Naive Volatility: 0.103021, Shrinkage: 0.00
Date: 2007-08-08 00:00:00, Volatility: 0.062134, Naive Volatility: 0.103563, Shrinkage: 0.00
Date: 2007-08-09 00:00:00, Volatility: 0.049374, Naive Volatility: 0.077232, Shrinkage: 0.00
Date: 2007-08-10 00:00:00, Volatility: 0.048100, Naive Volatility: 0.075235, Shrinkage: 0.00
Date: 2007-08-13 00:00:00, Volatility: 0.047882, Naive Volatility: 0.077775, Shrinkage: 0.00
Date: 2007-08-14 00:00:00, Volatility: 0.047854, Naive Volatility: 0.074153, Shrinkage: 0.00
Date: 2007-08-15 00:00:00, Volatility: 0.045692, Naive Volatility: 0.070601, Shrinkage: 0.00
Date: 2007-08-16 00:00:00, Volatility: 0.045296, Naive Volatility: 0.068874, Shrinkage: 0.00
Date: 2007-08-17 00:00:00, Volatility: 0.045869, Naive Volatility: 0.066841, Shrinkage: 0.00
Date: 2007-08-20 00:00:00, Volatility: 0.044435, Naive Volatility: 0.068465, Shrinkage: 0.00
Date: 2007-08-21 00:00:00, Volatility: 0.040894, Naive Volatility: 0.066109, Shrinkage: 0.00
Date: 2007-08-22 00:00:00, Volatility: 0.038567, Naive Volatility: 0.065822, Shrinkage: 0.00
Date: 2007-08-23 00:00:00, Volatility: 0.019743, Naive Volatility: 0.064702, Shrinkage: 0.00
Date: 2007-08-24 00:00:00, Volatility: 0.019162, Naive Volatility: 0.064401, Shrinkage: 0.00
Date: 2007-08-27 00:00:00, Volatility: 0.018179, Naive Volatility: 0.061548, Shrinkage: 0.00
Date: 2007-08-28 00:00:00, Volatility: 0.079182, Naive Volatility: 0.081097, Shrinkage: 0.00
Date: 2007-08-29 00:00:00, Volatility: 0.073102, Naive Volatility: 0.074958, Shrinkage: 0.00
Date: 2007-08-30 00:00:00, Volatility: 0.073255, Naive Volatility: 0.074668, Shrinkage: 0.00
Date: 2007-08-31 00:00:00, Volatility: 0.071222, Naive Volatility: 0.071874, Shrinkage: 0.00
Date: 2007-09-04 00:00:00, Volatility: 0.067969, Naive Volatility: 0.068677, Shrinkage: 0.00
Date: 2007-09-05 00:00:00, Volatility: 0.066989, Naive Volatility: 0.067332, Shrinkage: 0.00
Date: 2007-09-06 00:00:00, Volatility: 0.067194, Naive Volatility: 0.067134, Shrinkage: 0.08
Date: 2007-09-07 00:00:00, Volatility: 0.064932, Naive Volatility: 0.065024, Shrinkage: 0.12
Date: 2007-09-10 00:00:00, Volatility: 0.066176, Naive Volatility: 0.066305, Shrinkage: 0.15
Date: 2007-09-11 00:00:00, Volatility: 0.062900, Naive Volatility: 0.063617, Shrinkage: 0.00
Date: 2007-09-12 00:00:00, Volatility: 0.062483, Naive Volatility: 0.063521, Shrinkage: 0.00
Date: 2007-09-13 00:00:00, Volatility: 0.064494, Naive Volatility: 0.065536, Shrinkage: 0.00
Date: 2007-09-14 00:00:00, Volatility: 0.065039, Naive Volatility: 0.066351, Shrinkage: 0.00
Date: 2007-09-17 00:00:00, Volatility: 0.066635, Naive Volatility: 0.068315, Shrinkage: 0.00
Date: 2007-09-18 00:00:00, Volatility: 0.053597, Naive Volatility: 0.054678, Shrinkage: 0.00
Date: 2007-09-19 00:00:00, Volatility: 0.051748, Naive Volatility: 0.052376, Shrinkage: 0.00
Date: 2007-09-20 00:00:00, Volatility: 0.050457, Naive Volatility: 0.050758, Shrinkage: 0.03
Date: 2007-09-21 00:00:00, Volatility: 0.065065, Naive Volatility: 0.067228, Shrinkage: 0.00
Date: 2007-09-24 00:00:00, Volatility: 0.066042, Naive Volatility: 0.067829, Shrinkage: 0.00
Date: 2007-09-25 00:00:00, Volatility: 0.070155, Naive Volatility: 0.071517, Shrinkage: 0.00
Date: 2007-09-26 00:00:00, Volatility: 0.068830, Naive Volatility: 0.069659, Shrinkage: 0.00
Date: 2007-09-27 00:00:00, Volatility: 0.073363, Naive Volatility: 0.073886, Shrinkage: 0.00
Date: 2007-09-28 00:00:00, Volatility: 0.075156, Naive Volatility: 0.075488, Shrinkage: 0.00
Date: 2007-10-01 00:00:00, Volatility: 0.073925, Naive Volatility: 0.073997, Shrinkage: 0.15
Date: 2007-10-02 00:00:00, Volatility: 0.075060, Naive Volatility: 0.075352, Shrinkage: 0.00
Date: 2007-10-03 00:00:00, Volatility: 0.076070, Naive Volatility: 0.076605, Shrinkage: 0.00
Date: 2007-10-04 00:00:00, Volatility: 0.070262, Naive Volatility: 0.081596, Shrinkage: 0.00
Date: 2007-10-05 00:00:00, Volatility: 0.067035, Naive Volatility: 0.078944, Shrinkage: 0.00
Date: 2007-10-08 00:00:00, Volatility: 0.069035, Naive Volatility: 0.080712, Shrinkage: 0.00
Date: 2007-10-09 00:00:00, Volatility: 0.065633, Naive Volatility: 0.076421, Shrinkage: 0.00
Date: 2007-10-10 00:00:00, Volatility: 0.074241, Naive Volatility: 0.085086, Shrinkage: 0.00
Date: 2007-10-11 00:00:00, Volatility: 0.089044, Naive Volatility: 0.096891, Shrinkage: 0.00
Date: 2007-10-12 00:00:00, Volatility: 0.088237, Naive Volatility: 0.095760, Shrinkage: 0.00
Date: 2007-10-15 00:00:00, Volatility: 0.088369, Naive Volatility: 0.095454, Shrinkage: 0.00
Date: 2007-10-16 00:00:00, Volatility: 0.092756, Naive Volatility: 0.102389, Shrinkage: 0.00
Date: 2007-10-17 00:00:00, Volatility: 0.094017, Naive Volatility: 0.102795, Shrinkage: 0.00
Date: 2007-10-18 00:00:00, Volatility: 0.093791, Naive Volatility: 0.102904, Shrinkage: 0.00
Date: 2007-10-19 00:00:00, Volatility: 0.088605, Naive Volatility: 0.095907, Shrinkage: 0.00
Date: 2007-10-22 00:00:00, Volatility: 0.090428, Naive Volatility: 0.098258, Shrinkage: 0.00
Date: 2007-10-23 00:00:00, Volatility: 0.090605, Naive Volatility: 0.096331, Shrinkage: 0.00
Date: 2007-10-24 00:00:00, Volatility: 0.092886, Naive Volatility: 0.098882, Shrinkage: 0.00
Date: 2007-10-25 00:00:00, Volatility: 0.093873, Naive Volatility: 0.099173, Shrinkage: 0.00
Date: 2007-10-26 00:00:00, Volatility: 0.092963, Naive Volatility: 0.097045, Shrinkage: 0.00
Date: 2007-10-29 00:00:00, Volatility: 0.097484, Naive Volatility: 0.101955, Shrinkage: 0.00
Date: 2007-10-30 00:00:00, Volatility: 0.095008, Naive Volatility: 0.107596, Shrinkage: 0.00
Date: 2007-10-31 00:00:00, Volatility: 0.092872, Naive Volatility: 0.106208, Shrinkage: 0.00
Date: 2007-11-01 00:00:00, Volatility: 0.088341, Naive Volatility: 0.098374, Shrinkage: 0.00
Date: 2007-11-02 00:00:00, Volatility: 0.087893, Naive Volatility: 0.097363, Shrinkage: 0.00
Date: 2007-11-05 00:00:00, Volatility: 0.087683, Naive Volatility: 0.097757, Shrinkage: 0.00
Date: 2007-11-06 00:00:00, Volatility: 0.087920, Naive Volatility: 0.099050, Shrinkage: 0.00
Date: 2007-11-07 00:00:00, Volatility: 0.081710, Naive Volatility: 0.092516, Shrinkage: 0.00
Date: 2007-11-08 00:00:00, Volatility: 0.076492, Naive Volatility: 0.088349, Shrinkage: 0.00
Date: 2007-11-09 00:00:00, Volatility: 0.079609, Naive Volatility: 0.089259, Shrinkage: 0.00
Date: 2007-11-12 00:00:00, Volatility: 0.084395, Naive Volatility: 0.100503, Shrinkage: 0.00
Date: 2007-11-13 00:00:00, Volatility: 0.077174, Naive Volatility: 0.091396, Shrinkage: 0.00
Date: 2007-11-14 00:00:00, Volatility: 0.072521, Naive Volatility: 0.086418, Shrinkage: 0.00
Date: 2007-11-15 00:00:00, Volatility: 0.073896, Naive Volatility: 0.086955, Shrinkage: 0.00
Date: 2007-11-16 00:00:00, Volatility: 0.076458, Naive Volatility: 0.089187, Shrinkage: 0.00
Date: 2007-11-19 00:00:00, Volatility: 0.068939, Naive Volatility: 0.081665, Shrinkage: 0.00
Date: 2007-11-20 00:00:00, Volatility: 0.071952, Naive Volatility: 0.090435, Shrinkage: 0.00
Date: 2007-11-21 00:00:00, Volatility: 0.067285, Naive Volatility: 0.086063, Shrinkage: 0.00
Date: 2007-11-23 00:00:00, Volatility: 0.064991, Naive Volatility: 0.084203, Shrinkage: 0.00
Date: 2007-11-26 00:00:00, Volatility: 0.063119, Naive Volatility: 0.081532, Shrinkage: 0.00
Date: 2007-11-27 00:00:00, Volatility: 0.053616, Naive Volatility: 0.074916, Shrinkage: 0.00
Date: 2007-11-28 00:00:00, Volatility: 0.052259, Naive Volatility: 0.069979, Shrinkage: 0.00
Date: 2007-11-29 00:00:00, Volatility: 0.049960, Naive Volatility: 0.064351, Shrinkage: 0.00
Date: 2007-11-30 00:00:00, Volatility: 0.050637, Naive Volatility: 0.065255, Shrinkage: 0.00
Date: 2007-12-03 00:00:00, Volatility: 0.051365, Naive Volatility: 0.069401, Shrinkage: 0.00
Date: 2007-12-04 00:00:00, Volatility: 0.051103, Naive Volatility: 0.069014, Shrinkage: 0.00
Date: 2007-12-05 00:00:00, Volatility: 0.049848, Naive Volatility: 0.063826, Shrinkage: 0.00
Date: 2007-12-06 00:00:00, Volatility: 0.049361, Naive Volatility: 0.066160, Shrinkage: 0.00
Date: 2007-12-07 00:00:00, Volatility: 0.050970, Naive Volatility: 0.068554, Shrinkage: 0.00
Date: 2007-12-10 00:00:00, Volatility: 0.060287, Naive Volatility: 0.080186, Shrinkage: 0.00
Date: 2007-12-11 00:00:00, Volatility: 0.061494, Naive Volatility: 0.080834, Shrinkage: 0.00
Date: 2007-12-12 00:00:00, Volatility: 0.067379, Naive Volatility: 0.090296, Shrinkage: 0.00
Date: 2007-12-13 00:00:00, Volatility: 0.068929, Naive Volatility: 0.090512, Shrinkage: 0.00
Date: 2007-12-14 00:00:00, Volatility: 0.065998, Naive Volatility: 0.093218, Shrinkage: 0.00
Date: 2007-12-17 00:00:00, Volatility: 0.063092, Naive Volatility: 0.091125, Shrinkage: 0.00
Date: 2007-12-18 00:00:00, Volatility: 0.077523, Naive Volatility: 0.098938, Shrinkage: 0.00
Date: 2007-12-19 00:00:00, Volatility: 0.080262, Naive Volatility: 0.101714, Shrinkage: 0.00
Date: 2007-12-20 00:00:00, Volatility: 0.079972, Naive Volatility: 0.100942, Shrinkage: 0.00
Date: 2007-12-21 00:00:00, Volatility: 0.080206, Naive Volatility: 0.100655, Shrinkage: 0.00
Date: 2007-12-24 00:00:00, Volatility: 0.078613, Naive Volatility: 0.100297, Shrinkage: 0.00
Date: 2007-12-26 00:00:00, Volatility: 0.078410, Naive Volatility: 0.100710, Shrinkage: 0.00
Date: 2007-12-27 00:00:00, Volatility: 0.079006, Naive Volatility: 0.102763, Shrinkage: 0.00
Date: 2007-12-28 00:00:00, Volatility: 0.079156, Naive Volatility: 0.101949, Shrinkage: 0.00
Date: 2007-12-31 00:00:00, Volatility: 0.079285, Naive Volatility: 0.102144, Shrinkage: 0.00
Date: 2008-01-02 00:00:00, Volatility: 0.079538, Naive Volatility: 0.105408, Shrinkage: 0.00
Date: 2008-01-03 00:00:00, Volatility: 0.080365, Naive Volatility: 0.114179, Shrinkage: 0.00
Date: 2008-01-04 00:00:00, Volatility: 0.079674, Naive Volatility: 0.114501, Shrinkage: 0.00
Date: 2008-01-07 00:00:00, Volatility: 0.079817, Naive Volatility: 0.112150, Shrinkage: 0.00
Date: 2008-01-08 00:00:00, Volatility: 0.079362, Naive Volatility: 0.110159, Shrinkage: 0.00
Date: 2008-01-09 00:00:00, Volatility: 0.072208, Naive Volatility: 0.100387, Shrinkage: 0.00
Date: 2008-01-10 00:00:00, Volatility: 0.071032, Naive Volatility: 0.098017, Shrinkage: 0.00
Date: 2008-01-11 00:00:00, Volatility: 0.066199, Naive Volatility: 0.097833, Shrinkage: 0.00
Date: 2008-01-14 00:00:00, Volatility: 0.061021, Naive Volatility: 0.099564, Shrinkage: 0.00
Date: 2008-01-15 00:00:00, Volatility: 0.062965, Naive Volatility: 0.099034, Shrinkage: 0.00
Date: 2008-01-16 00:00:00, Volatility: 0.062774, Naive Volatility: 0.097587, Shrinkage: 0.00
Date: 2008-01-17 00:00:00, Volatility: 0.044906, Naive Volatility: 0.090894, Shrinkage: 0.00
Date: 2008-01-18 00:00:00, Volatility: 0.038991, Naive Volatility: 0.086722, Shrinkage: 0.00
Date: 2008-01-22 00:00:00, Volatility: 0.033145, Naive Volatility: 0.081422, Shrinkage: 0.00
Date: 2008-01-23 00:00:00, Volatility: 0.034236, Naive Volatility: 0.086199, Shrinkage: 0.00
Date: 2008-01-24 00:00:00, Volatility: 0.034346, Naive Volatility: 0.088215, Shrinkage: 0.00
Date: 2008-01-25 00:00:00, Volatility: 0.034760, Naive Volatility: 0.090005, Shrinkage: 0.00
Date: 2008-01-28 00:00:00, Volatility: 0.032948, Naive Volatility: 0.091381, Shrinkage: 0.00
Date: 2008-01-29 00:00:00, Volatility: 0.140694, Naive Volatility: 0.157165, Shrinkage: 0.56
Date: 2008-01-30 00:00:00, Volatility: 0.143736, Naive Volatility: 0.161412, Shrinkage: 0.63
Date: 2008-01-31 00:00:00, Volatility: 0.153030, Naive Volatility: 0.164792, Shrinkage: 0.65
Date: 2008-02-01 00:00:00, Volatility: 0.137876, Naive Volatility: 0.147779, Shrinkage: 0.54
Date: 2008-02-04 00:00:00, Volatility: 0.134776, Naive Volatility: 0.141811, Shrinkage: 0.48
Date: 2008-02-05 00:00:00, Volatility: 0.122111, Naive Volatility: 0.133742, Shrinkage: 0.54
Date: 2008-02-06 00:00:00, Volatility: 0.133230, Naive Volatility: 0.137509, Shrinkage: 0.45
Date: 2008-02-07 00:00:00, Volatility: 0.133138, Naive Volatility: 0.139436, Shrinkage: 0.42
Date: 2008-02-08 00:00:00, Volatility: 0.133777, Naive Volatility: 0.138935, Shrinkage: 0.45
Date: 2008-02-11 00:00:00, Volatility: 0.134572, Naive Volatility: 0.141987, Shrinkage: 0.43
Date: 2008-02-12 00:00:00, Volatility: 0.130197, Naive Volatility: 0.135833, Shrinkage: 0.40
Date: 2008-02-13 00:00:00, Volatility: 0.128390, Naive Volatility: 0.134872, Shrinkage: 0.43
Date: 2008-02-14 00:00:00, Volatility: 0.131679, Naive Volatility: 0.136410, Shrinkage: 0.34
Date: 2008-02-15 00:00:00, Volatility: 0.130946, Naive Volatility: 0.131373, Shrinkage: 0.15
Date: 2008-02-19 00:00:00, Volatility: 0.167362, Naive Volatility: 0.167431, Shrinkage: 0.09
Date: 2008-02-20 00:00:00, Volatility: 0.174284, Naive Volatility: 0.175417, Shrinkage: 0.15
Date: 2008-02-21 00:00:00, Volatility: 0.169334, Naive Volatility: 0.172708, Shrinkage: 0.36
Date: 2008-02-22 00:00:00, Volatility: 0.165990, Naive Volatility: 0.168277, Shrinkage: 0.00
Date: 2008-02-25 00:00:00, Volatility: 0.158853, Naive Volatility: 0.161652, Shrinkage: 0.00
Date: 2008-02-26 00:00:00, Volatility: 0.163801, Naive Volatility: 0.166619, Shrinkage: 0.00
Date: 2008-02-27 00:00:00, Volatility: 0.161580, Naive Volatility: 0.164987, Shrinkage: 0.00
Date: 2008-02-28 00:00:00, Volatility: 0.160829, Naive Volatility: 0.163538, Shrinkage: 0.00
Date: 2008-02-29 00:00:00, Volatility: 0.146705, Naive Volatility: 0.148320, Shrinkage: 0.03
Date: 2008-03-03 00:00:00, Volatility: 0.162897, Naive Volatility: 0.163904, Shrinkage: 0.04
Date: 2008-03-04 00:00:00, Volatility: 0.164329, Naive Volatility: 0.164329, Shrinkage: 0.10
Date: 2008-03-05 00:00:00, Volatility: 0.162166, Naive Volatility: 0.162165, Shrinkage: 0.10
Date: 2008-03-06 00:00:00, Volatility: 0.154678, Naive Volatility: 0.154780, Shrinkage: 0.14
Date: 2008-03-07 00:00:00, Volatility: 0.153790, Naive Volatility: 0.154603, Shrinkage: 0.23
Date: 2008-03-10 00:00:00, Volatility: 0.155436, Naive Volatility: 0.156410, Shrinkage: 0.16
Date: 2008-03-11 00:00:00, Volatility: 0.144876, Naive Volatility: 0.149830, Shrinkage: 0.00
Date: 2008-03-12 00:00:00, Volatility: 0.142842, Naive Volatility: 0.148142, Shrinkage: 0.00
Date: 2008-03-13 00:00:00, Volatility: 0.146825, Naive Volatility: 0.152223, Shrinkage: 0.00
Date: 2008-03-14 00:00:00, Volatility: 0.142567, Naive Volatility: 0.147472, Shrinkage: 0.00
Date: 2008-03-17 00:00:00, Volatility: 0.144872, Naive Volatility: 0.148110, Shrinkage: 0.00
Date: 2008-03-18 00:00:00, Volatility: 0.116532, Naive Volatility: 0.117826, Shrinkage: 0.00
Date: 2008-03-19 00:00:00, Volatility: 0.093844, Naive Volatility: 0.097656, Shrinkage: 0.00
Date: 2008-03-20 00:00:00, Volatility: 0.096570, Naive Volatility: 0.098182, Shrinkage: 0.01
Date: 2008-03-24 00:00:00, Volatility: 0.095166, Naive Volatility: 0.097560, Shrinkage: 0.00
Date: 2008-03-25 00:00:00, Volatility: 0.096255, Naive Volatility: 0.098605, Shrinkage: 0.00
Date: 2008-03-26 00:00:00, Volatility: 0.098543, Naive Volatility: 0.099490, Shrinkage: 0.00
Date: 2008-03-27 00:00:00, Volatility: 0.097736, Naive Volatility: 0.101307, Shrinkage: 0.00
Date: 2008-03-28 00:00:00, Volatility: 0.096132, Naive Volatility: 0.100116, Shrinkage: 0.00
Date: 2008-03-31 00:00:00, Volatility: 0.095727, Naive Volatility: 0.099497, Shrinkage: 0.00
Date: 2008-04-01 00:00:00, Volatility: 0.065946, Naive Volatility: 0.068712, Shrinkage: 0.00
Date: 2008-04-02 00:00:00, Volatility: 0.060460, Naive Volatility: 0.065066, Shrinkage: 0.00
Date: 2008-04-03 00:00:00, Volatility: 0.078469, Naive Volatility: 0.088163, Shrinkage: 0.00
Date: 2008-04-04 00:00:00, Volatility: 0.079369, Naive Volatility: 0.088325, Shrinkage: 0.00
Date: 2008-04-07 00:00:00, Volatility: 0.078790, Naive Volatility: 0.087675, Shrinkage: 0.00
Date: 2008-04-08 00:00:00, Volatility: 0.078511, Naive Volatility: 0.087292, Shrinkage: 0.00
Date: 2008-04-09 00:00:00, Volatility: 0.085952, Naive Volatility: 0.094770, Shrinkage: 0.00
Date: 2008-04-10 00:00:00, Volatility: 0.085320, Naive Volatility: 0.094485, Shrinkage: 0.00
Date: 2008-04-11 00:00:00, Volatility: 0.082916, Naive Volatility: 0.091929, Shrinkage: 0.00
Date: 2008-04-14 00:00:00, Volatility: 0.084987, Naive Volatility: 0.093727, Shrinkage: 0.00
Date: 2008-04-15 00:00:00, Volatility: 0.084592, Naive Volatility: 0.093243, Shrinkage: 0.00
Date: 2008-04-16 00:00:00, Volatility: 0.084804, Naive Volatility: 0.092799, Shrinkage: 0.00
Date: 2008-04-17 00:00:00, Volatility: 0.083079, Naive Volatility: 0.091106, Shrinkage: 0.00
Date: 2008-04-18 00:00:00, Volatility: 0.082931, Naive Volatility: 0.090558, Shrinkage: 0.00
Date: 2008-04-21 00:00:00, Volatility: 0.080378, Naive Volatility: 0.089348, Shrinkage: 0.00
Date: 2008-04-22 00:00:00, Volatility: 0.080130, Naive Volatility: 0.086430, Shrinkage: 0.00
Date: 2008-04-23 00:00:00, Volatility: 0.078196, Naive Volatility: 0.084592, Shrinkage: 0.00
Date: 2008-04-24 00:00:00, Volatility: 0.080337, Naive Volatility: 0.087680, Shrinkage: 0.00
Date: 2008-04-25 00:00:00, Volatility: 0.087489, Naive Volatility: 0.094969, Shrinkage: 0.00
Date: 2008-04-28 00:00:00, Volatility: 0.088541, Naive Volatility: 0.097925, Shrinkage: 0.00
Date: 2008-04-29 00:00:00, Volatility: 0.087126, Naive Volatility: 0.097534, Shrinkage: 0.00
Date: 2008-04-30 00:00:00, Volatility: 0.094743, Naive Volatility: 0.100768, Shrinkage: 0.00
Date: 2008-05-01 00:00:00, Volatility: 0.085979, Naive Volatility: 0.087542, Shrinkage: 0.00
Date: 2008-05-02 00:00:00, Volatility: 0.087513, Naive Volatility: 0.089696, Shrinkage: 0.00
Date: 2008-05-05 00:00:00, Volatility: 0.087492, Naive Volatility: 0.090005, Shrinkage: 0.00
Date: 2008-05-06 00:00:00, Volatility: 0.087909, Naive Volatility: 0.091294, Shrinkage: 0.00
Date: 2008-05-07 00:00:00, Volatility: 0.082335, Naive Volatility: 0.084807, Shrinkage: 0.00
Date: 2008-05-08 00:00:00, Volatility: 0.107713, Naive Volatility: 0.110677, Shrinkage: 0.00
Date: 2008-05-09 00:00:00, Volatility: 0.106120, Naive Volatility: 0.109395, Shrinkage: 0.00
Date: 2008-05-12 00:00:00, Volatility: 0.102477, Naive Volatility: 0.105646, Shrinkage: 0.00
Date: 2008-05-13 00:00:00, Volatility: 0.105810, Naive Volatility: 0.110579, Shrinkage: 0.00
Date: 2008-05-14 00:00:00, Volatility: 0.106974, Naive Volatility: 0.111413, Shrinkage: 0.00
Date: 2008-05-15 00:00:00, Volatility: 0.109986, Naive Volatility: 0.113399, Shrinkage: 0.00
Date: 2008-05-16 00:00:00, Volatility: 0.111000, Naive Volatility: 0.114501, Shrinkage: 0.00
Date: 2008-05-19 00:00:00, Volatility: 0.114321, Naive Volatility: 0.117421, Shrinkage: 0.00
Date: 2008-05-20 00:00:00, Volatility: 0.122849, Naive Volatility: 0.123382, Shrinkage: 0.03
Date: 2008-05-21 00:00:00, Volatility: 0.121981, Naive Volatility: 0.122505, Shrinkage: 0.03
Date: 2008-05-22 00:00:00, Volatility: 0.124543, Naive Volatility: 0.124828, Shrinkage: 0.05
Date: 2008-05-23 00:00:00, Volatility: 0.121682, Naive Volatility: 0.121756, Shrinkage: 0.04
Date: 2008-05-27 00:00:00, Volatility: 0.116568, Naive Volatility: 0.116887, Shrinkage: 0.17
Date: 2008-05-28 00:00:00, Volatility: 0.122497, Naive Volatility: 0.122794, Shrinkage: 0.18
Date: 2008-05-29 00:00:00, Volatility: 0.124065, Naive Volatility: 0.124867, Shrinkage: 0.26
Date: 2008-05-30 00:00:00, Volatility: 0.123482, Naive Volatility: 0.124829, Shrinkage: 0.29
Date: 2008-06-02 00:00:00, Volatility: 0.124682, Naive Volatility: 0.126438, Shrinkage: 0.29
Date: 2008-06-03 00:00:00, Volatility: 0.124848, Naive Volatility: 0.125266, Shrinkage: 0.15
Date: 2008-06-04 00:00:00, Volatility: 0.122501, Naive Volatility: 0.123434, Shrinkage: 0.17
Date: 2008-06-05 00:00:00, Volatility: 0.117322, Naive Volatility: 0.119863, Shrinkage: 0.28
Date: 2008-06-06 00:00:00, Volatility: 0.100201, Naive Volatility: 0.104033, Shrinkage: 0.28
Date: 2008-06-09 00:00:00, Volatility: 0.110686, Naive Volatility: 0.111674, Shrinkage: 0.19
